Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Anthony Martial,83,LW,Manchester United,Premier League,FRA,89,81,73,86,42,72,3★,4★,M,M,700,10K
Mateo Kovačić,83,CM,Chelsea,Premier League,CRO,79,69,82,86,69,72,4★,4★,H,H,700,10K
Morata,83,ST,Chelsea,Premier League,ESP,82,79,71,79,31,71,4★,3★,H,H,800,15K
David Luiz,83,CB,Chelsea,Premier League,BRA,61,65,73,71,82,77,3★,3★,M,M,2.1K,37.5K
Juan Mata,83,RM,Manchester United,Premier League,ESP,65,76,84,85,37,50,3★,4★,M,M,700,10K
Marcus Rashford,82,ST,Manchester United,Premier League,ENG,93,80,74,83,42,74,4★,4★,H,M,0,0
Lucas Torreira,82,CDM,Arsenal,Premier League,URU,78,65,79,81,79,75,3★,4★,M,H,0,0
Eric Bailly,82,CB,Manchester United,Premier League,IVC,74,42,59,66,82,82,3★,2★,M,H,700,10K
Jean Michaël Seri,82,CM,Fulham,Premier League,IVC,76,71,82,81,73,73,4★,3★,H,M,700,10K
Andreas Christensen,82,CB,Chelsea,Premier League,DEN,69,31,63,70,84,72,3★,2★,L,M,650,10K
Fred,82,CM,Manchester United,Premier League,BRA,79,74,77,82,75,71,4★,4★,H,H,650,10K
Jamie Vardy,82,ST,Leicester City,Premier League,ENG,90,81,63,77,54,77,3★,3★,H,H,650,10K
Jesse Lingard,82,CAM,Manchester United,Premier League,ENG,81,78,76,84,56,68,3★,4★,H,H,350,10K
John Stones,82,CB,Manchester City,Premier League,ENG,69,36,69,71,83,78,4★,3★,H,M,650,10K
Felipe Anderson,82,LM,West Ham United,Premier League,BRA,92,75,78,88,56,60,4★,4★,H,H,650,10K
Lucas,82,RM,Tottenham Hotspur,Premier League,BRA,92,74,75,85,42,59,3★,4★,M,M,700,13K
Wilfried Zaha,82,CF,Crystal Palace,Premier League,IVC,91,74,73,87,29,72,3★,5★,H,M,650,10K
Idrissa Gueye,82,CDM,Everton,Premier League,SEN,72,59,70,77,84,79,3★,3★,M,H,700,10K
Marcos Alonso,82,LB,Chelsea,Premier League,ESP,73,73,78,77,80,79,3★,3★,H,H,650,10K
Ander Herrera,82,CM,Manchester United,Premier League,ESP,71,72,79,80,78,76,4★,3★,H,H,700,10K
Pedro,82,RW,Chelsea,Premier League,ESP,76,77,77,83,43,56,5★,4★,H,H,700,10K
Kieran Trippier,82,RB,Tottenham Hotspur,Premier League,ENG,75,58,82,76,79,72,4★,3★,H,H,350,10K
Gylfi Sigurðsson,82,CAM,Everton,Premier League,ICE,59,80,84,79,56,70,4★,3★,H,H,700,10K
Marko Arnautović,82,ST,West Ham United,Premier League,AT,79,79,77,81,47,81,4★,4★,H,M,700,10K
Jordan Henderson,82,CDM,Liverpool,Premier League,ENG,66,70,83,75,77,78,3★,3★,H,H,700,10K
Georginio Wijnaldum,82,CM,Liverpool,Premier League,NED,76,72,77,83,71,73,3★,4★,H,H,700,10K
Olivier Giroud,82,ST,Chelsea,Premier League,FRA,47,82,71,74,42,79,3★,3★,M,M,700,13K
Antonio Valencia,82,RB,Manchester United,Premier League,ECU,85,67,76,80,79,79,2★,3★,H,H,700,13K
Harry Maguire,82,CB,Leicester City,Premier League,ENG,47,46,63,69,81,82,3★,2★,H,H,300,10K
Shkodran Mustafi,82,CB,Arsenal,Premier League,GER,62,57,64,62,81,77,3★,2★,M,H,700,10K
Aaron Ramsey,82,CM,Arsenal,Premier League,WAL,67,76,79,80,67,74,3★,3★,H,H,350,10K
Laurent Koscielny,82,CB,Arsenal,Premier League,FRA,65,41,62,65,82,75,3★,2★,M,H,700,10K
Lucas Digne,81,LB,Everton,Premier League,FRA,77,62,79,78,78,74,3★,3★,H,M,0,0
Michy Batshuayi,81,ST,Crystal Palace,Premier League,BEL,76,81,59,78,33,72,5★,4★,M,L,0,0
Marcus Rashford,81,LW,Manchester United,Premier League,ENG,92,80,74,82,40,72,4★,4★,H,M,650,10K
Andrew Robertson,81,LB,Liverpool,Premier League,SCO,84,59,72,77,77,73,2★,3★,H,H,300,10K
Ricardo Pereira,81,RB,Leicester City,Premier League,POR,87,63,77,81,77,70,4★,3★,H,H,650,10K
Abdoulaye Doucouré,81,CDM,Watford,Premier League,FRA,67,74,73,76,79,83,3★,3★,H,M,350,10K
Ben Davies,81,LB,Tottenham Hotspur,Premier League,WAL,75,58,76,76,79,75,3★,3★,H,H,350,10K
Antonio Rüdiger,81,CB,Chelsea,Premier League,GER,73,40,67,63,81,77,3★,2★,M,H,700,10K
Benjamin Mendy,81,LB,Manchester City,Premier League,FRA,81,51,76,78,77,78,3★,3★,H,M,350,10K
Deulofeu,81,RM,Watford,Premier League,ESP,90,70,75,86,30,56,4★,4★,H,L,700,10K
Serge Aurier,81,RB,Tottenham Hotspur,Premier League,IVC,78,62,74,77,78,79,3★,3★,H,H,650,10K
Xherdan Shaqiri,81,RW,Liverpool,Premier League,SUI,80,77,80,85,46,70,4★,5★,M,M,700,10K
Chris Smalling,81,CB,Manchester United,Premier League,ENG,68,47,55,59,81,82,3★,2★,M,H,650,10K
Manuel Lanzini,81,CAM,West Ham United,Premier League,ARG,81,72,78,86,32,52,3★,4★,M,M,650,10K
João Moutinho,81,CM,Wolverhampton Wanderers,Premier League,POR,62,76,81,80,70,70,4★,3★,H,M,700,10K
Granit Xhaka,81,CM,Arsenal,Premier League,SUI,48,65,79,71,69,76,2★,3★,M,M,350,10K
Joel Matip,81,CB,Liverpool,Premier League,CAM,63,46,68,66,82,77,2★,2★,M,M,700,10K
Dejan Lovren,81,CB,Liverpool,Premier League,CRO,55,40,59,63,81,79,4★,2★,M,H,350,10K
Iborra,81,CDM,Leicester City,Premier League,ESP,37,71,75,70,79,80,4★,3★,M,M,700,10K
Adam Lallana,81,CM,Liverpool,Premier League,ENG,69,73,80,82,64,71,5★,4★,H,H,700,10K
Gary Cahill,81,CB,Chelsea,Premier League,ENG,47,58,53,60,83,76,3★,2★,M,M,700,10K
James Milner,81,CM,Liverpool,Premier League,ENG,62,70,82,77,75,78,4★,3★,H,H,650,10K
Rúben Neves,80,CM,Wolverhampton Wanderers,Premier League,POR,64,73,83,75,70,74,3★,3★,M,M,0,0
Richarlison,80,ST,Everton,Premier League,BRA,85,75,70,81,45,78,5★,4★,H,H,0,0
Miguel Almirón,80,CAM,Newcastle United,Premier League,PAR,89,74,75,80,48,63,2★,4★,H,H,0,0
Wilfred Ndidi,80,CDM,Leicester City,Premier League,NIG,73,62,65,73,83,82,4★,3★,M,H,350,10K
André Gomes,80,CM,Everton,Premier League,POR,65,69,77,77,73,81,4★,4★,M,M,350,10K
Sead Kolašinac,80,LB,Arsenal,Premier League,BOS,72,62,65,70,77,87,2★,3★,M,H,650,10K
Bernard,80,LM,Everton,Premier League,BRA,90,69,75,83,38,45,4★,4★,H,M,650,10K
Héctor Bellerín,80,RB,Arsenal,Premier League,ESP,93,51,68,77,75,66,3★,3★,H,M,650,10K
Eric Dier,80,CDM,Tottenham Hotspur,Premier League,ENG,65,63,72,65,82,86,3★,2★,M,H,700,10K
Alex Oxlade-Chamberlain,80,CM,Liverpool,Premier League,ENG,85,73,78,83,66,76,4★,4★,H,H,650,10K
Andriy Yarmolenko,80,RM,West Ham United,Premier League,UKR,73,80,78,82,42,71,3★,4★,H,M,650,10K
Victor Wanyama,80,CDM,Tottenham Hotspur,Premier League,KEN,58,65,69,73,80,88,3★,2★,M,H,700,10K
Fabian Delph,80,LB,Manchester City,Premier League,ENG,73,70,76,80,77,74,3★,3★,H,H,350,10K
Mamadou Sakho,80,CB,Crystal Palace,Premier League,FRA,52,33,63,56,78,84,2★,2★,M,H,650,10K
Séamus Coleman,80,RB,Everton,Premier League,IRL,76,65,73,78,80,73,3★,3★,H,H,650,10K
Nacho Monreal,80,LB,Arsenal,Premier League,ESP,69,58,71,75,80,70,3★,3★,H,M,650,10K
Danny Rose,80,LB,Tottenham Hotspur,Premier League,ENG,76,62,73,77,79,76,3★,3★,M,H,700,10K
Ashley Young,80,LB,Manchester United,Premier League,ENG,75,68,79,78,74,70,3★,4★,H,M,300,10K
Nathaniel Clyne,80,RB,Bournemouth,Premier League,ENG,78,61,70,77,79,71,2★,3★,H,M,0,0
Fabián Balbuena,80,CB,West Ham United,Premier League,PAR,61,40,51,52,81,81,3★,2★,L,M,,
Jannik Vestergaard,80,CB,Southampton,Premier League,DEN,38,49,62,48,82,79,4★,2★,M,M,350,10K
James Tarkowski,80,CB,Burnley,Premier League,ENG,59,43,67,67,80,77,4★,2★,M,M,300,10K
Marcos Rojo,80,CB,Manchester United,Premier League,ARG,69,60,69,66,79,78,2★,3★,M,H,700,10K
Phil Jones,80,CB,Manchester United,Premier League,ENG,57,53,62,62,80,77,3★,2★,M,H,350,10K
Cenk Tosun,80,ST,Everton,Premier League,TUR,74,80,66,77,36,74,4★,3★,H,M,350,10K
Nathaniel Clyne,80,RB,Liverpool,Premier League,ENG,78,61,70,77,79,71,2★,3★,H,M,700,10K
Ben Mee,80,CB,Burnley,Premier League,ENG,63,38,61,66,80,79,3★,2★,M,H,350,10K
Jack Wilshere,80,CM,West Ham United,Premier League,ENG,70,68,80,81,63,69,2★,4★,M,M,650,10K
Daniel Sturridge,80,ST,Liverpool,Premier League,ENG,75,81,68,78,23,63,2★,4★,M,L,700,10K
Steven Defour,80,CM,Burnley,Premier League,BEL,64,71,79,78,76,73,3★,3★,M,M,350,10K
Erik Lamela,80,RM,Tottenham Hotspur,Premier League,ARG,75,77,80,82,47,68,2★,4★,H,H,650,10K
Stephan Lichtsteiner,80,RB,Arsenal,Premier League,SUI,71,58,72,76,79,74,3★,3★,H,H,700,10K
Denis Suárez,79,CM,Arsenal,Premier League,ESP,77,72,80,82,59,59,3★,3★,M,M,0,0
Ryan Babel,79,LM,Fulham,Premier League,NED,82,79,70,79,36,76,3★,4★,M,L,0,0
Jefferson Lerma,79,CDM,Bournemouth,Premier League,COL,75,65,72,72,78,81,4★,3★,M,H,300,10K
Max Meyer,79,CM,Crystal Palace,Premier League,GER,67,59,79,84,65,66,4★,4★,M,M,650,10K
Jonny,79,LWB,Wolverhampton Wanderers,Premier League,ESP,77,45,67,73,78,74,3★,3★,H,M,350,10K
Nathan Aké,79,CB,Bournemouth,Premier League,NED,74,52,69,70,79,74,3★,2★,M,H,600,10K
Luka Milivojević,79,CDM,Crystal Palace,Premier League,SRB,57,64,74,67,77,83,2★,3★,M,H,350,10K
Danilo,79,RB,Manchester City,Premier League,BRA,75,70,73,74,77,77,4★,3★,H,M,650,10K
Jack Cork,79,CM,Burnley,Premier League,ENG,55,64,76,75,79,81,4★,3★,M,H,350,10K
Youri Tielemans,79,CM,Leicester City,Premier League,BEL,53,79,80,77,68,71,5★,4★,M,M,0,0
Rúben Neves,79,CM,Wolverhampton Wanderers,Premier League,POR,64,70,80,75,70,74,3★,3★,M,M,350,10K
Victor Lindelöf,79,CB,Manchester United,Premier League,SWE,72,48,71,69,78,76,3★,3★,M,M,350,10K
Davide Zappacosta,79,RB,Chelsea,Premier League,ITA,77,66,72,75,76,74,3★,3★,H,H,650,10K
Michael Keane,79,CB,Everton,Premier League,ENG,64,49,63,67,79,77,3★,2★,M,H,650,10K
Mohamed Elyounoussi,79,LM,Southampton,Premier League,NOR,82,72,76,79,39,67,4★,4★,H,M,650,10K
Marco van Ginkel,79,CM,Chelsea,Premier League,NED,66,77,77,76,70,73,4★,3★,H,H,350,10K
Lucas Pérez,79,ST,West Ham United,Premier League,ESP,77,80,76,78,32,69,4★,4★,H,H,650,10K
Ross Barkley,79,CAM,Chelsea,Premier League,ENG,70,72,76,81,54,73,5★,4★,M,M,650,10K
Tom Cairney,79,CM,Fulham,Premier League,SCO,64,74,79,79,63,68,2★,4★,H,M,350,10K
Aaron Mooy,79,CM,Huddersfield Town,Premier League,AUS,63,71,79,76,70,75,3★,3★,M,M,350,10K
Roberto Pereyra,79,LM,Watford,Premier League,ARG,76,71,79,81,61,67,4★,4★,H,M,650,10K
Jóhann Berg Guðmundsson,79,RM,Burnley,Premier League,ICE,77,74,79,79,58,72,4★,4★,H,H,500,10K
Danny Drinkwater,79,CM,Chelsea,Premier League,ENG,63,67,76,76,72,71,4★,3★,M,M,350,10K
Adrien Silva,79,CM,Leicester City,Premier League,POR,60,74,79,78,71,65,4★,3★,M,H,800,15K
Javier Hernández,79,ST,West Ham United,Premier League,MEX,73,78,64,75,31,59,3★,3★,M,L,700,10K
Morgan Schneiderlin,79,CDM,Everton,Premier League,FRA,58,60,72,75,77,77,3★,3★,L,H,700,10K
Marouane Fellaini,79,CM,Manchester United,Premier League,BEL,45,72,71,72,75,86,3★,3★,M,M,650,10K
Ryan Bertrand,79,LB,Southampton,Premier League,ENG,77,53,71,76,77,73,3★,3★,H,M,350,10K
Theo Walcott,79,RM,Everton,Premier League,ENG,89,73,71,79,39,62,3★,3★,M,M,650,10K
Leighton Baines,79,LB,Everton,Premier League,ENG,63,71,79,78,78,65,3★,3★,H,M,700,10K
Yerry Mina,78,CB,Everton,Premier League,COL,54,54,56,58,78,83,2★,2★,M,H,350,5K
Leander Dendoncker,78,CB,Wolverhampton Wanderers,Premier League,BEL,65,71,76,68,77,84,4★,2★,H,H,650,10K
Luke Shaw,78,LB,Manchester United,Premier League,ENG,83,52,71,77,76,72,2★,3★,H,M,650,10K
Kurt Zouma,78,CB,Everton,Premier League,FRA,62,52,58,55,76,83,3★,2★,M,M,650,10K
Callum Wilson,78,ST,Bournemouth,Premier League,ENG,87,75,64,75,38,73,3★,4★,H,M,600,10K
André Schürrle,78,LM,Fulham,Premier League,GER,78,80,73,77,47,70,4★,3★,H,H,650,10K
Pascal Groß,78,CAM,Brighton & Hove Albion,Premier League,GER,66,72,82,75,61,75,4★,4★,H,H,350,10K
Michail Antonio,78,ST,West Ham United,Premier League,ENG,83,73,70,78,53,79,3★,4★,H,M,650,10K
Joshua King,78,CF,Bournemouth,Premier League,NOR,88,78,68,77,37,71,3★,4★,M,M,650,10K
Trent Alexander-Arnold,78,RB,Liverpool,Premier League,ENG,80,60,75,73,73,69,3★,3★,H,M,150,10K
Diogo Jota,78,LW,Wolverhampton Wanderers,Premier League,POR,81,74,69,83,51,74,4★,4★,H,H,350,10K
Lucas Torreira,78,CM,Arsenal,Premier League,URU,77,62,77,80,73,73,3★,4★,M,H,300,10K
Alireza Jahanbakhsh,78,RM,Brighton & Hove Albion,Premier League,IRN,83,76,70,81,42,71,4★,4★,H,H,300,10K
Mohamed Elneny,78,CDM,Arsenal,Premier League,EGY,59,62,73,71,73,75,3★,3★,M,H,350,10K
Mario Lemina,78,CM,Southampton,Premier League,GAB,77,67,76,79,71,72,3★,3★,M,M,350,10K
Andreas Pereira,78,RM,Manchester United,Premier League,BRA,76,74,78,78,62,67,4★,3★,M,M,350,10K
Raúl Jiménez,78,ST,Wolverhampton Wanderers,Premier League,MEX,73,76,69,73,46,77,4★,4★,H,H,350,10K
Jamaal Lascelles,78,CB,Newcastle United,Premier League,ENG,62,28,51,58,78,80,3★,2★,M,H,300,10K
Christopher Schindler,78,CB,Huddersfield Town,Premier League,GER,62,32,57,55,79,74,3★,2★,M,M,300,10K
Lucas Digne,78,LB,Everton,Premier League,FRA,76,61,75,75,74,72,3★,3★,H,M,650,10K
Matthew Lowton,78,RB,Burnley,Premier League,ENG,72,61,75,75,77,76,3★,2★,H,H,350,10K
Oriol Romeu,78,CDM,Southampton,Premier League,ESP,52,39,65,64,77,82,3★,2★,M,H,650,10K
Florian Lejeune,78,CB,Newcastle United,Premier League,FRA,48,57,61,66,78,80,3★,2★,M,H,350,10K
Andros Townsend,78,RM,Crystal Palace,Premier League,ENG,78,75,74,80,30,67,4★,3★,H,H,350,10K
Chris Wood,78,ST,Burnley,Premier League,NZL,71,77,59,71,40,79,3★,2★,H,M,300,10K
Christian Kabasele,78,CB,Watford,Premier League,BEL,70,50,51,62,78,77,3★,2★,M,H,600,10K
Jonjo Shelvey,78,CM,Newcastle United,Premier League,ENG,63,73,80,73,63,75,3★,3★,L,M,350,10K
James McCarthy,78,CDM,Everton,Premier League,IRL,59,60,74,73,76,73,4★,3★,M,H,350,10K
Christian Benteke,78,ST,Crystal Palace,Premier League,BEL,66,76,64,70,37,75,4★,2★,M,L,650,10K
Angelo Ogbonna,78,CB,West Ham United,Premier League,ITA,62,39,58,61,79,74,3★,2★,M,M,350,10K
James Tomkins,78,CB,Crystal Palace,Premier League,ENG,45,33,57,55,80,75,3★,2★,M,M,350,10K
Victor Moses,78,RW,Chelsea,Premier League,NIG,78,70,74,80,73,71,4★,4★,M,M,650,10K
Jonny Evans,78,CB,Leicester City,Premier League,NIR,58,32,59,54,78,72,4★,2★,M,H,350,10K
Phil Jagielka,78,CB,Everton,Premier League,ENG,46,46,58,56,79,71,3★,2★,M,H,350,10K
James Maddison,77,CAM,Leicester City,Premier League,ENG,75,73,78,79,39,51,4★,4★,H,M,0,0
Ryan Fraser,77,LM,Bournemouth,Premier League,SCO,88,66,71,80,46,55,4★,3★,H,M,0,0
Yannick Bolasie,77,LW,Everton,Premier League,DRC,82,69,69,82,32,75,4★,5★,H,H,0,0
José Izquierdo,77,LM,Brighton & Hove Albion,Premier League,COL,91,73,67,80,37,57,3★,4★,H,H,650,10K
Alberto Moreno,77,LB,Liverpool,Premier League,ESP,86,65,68,77,70,72,3★,3★,H,M,650,10K
Troy Deeney,77,ST,Watford,Premier League,ENG,56,78,66,69,35,84,3★,2★,H,M,650,10K
Carlos Sánchez,77,CDM,West Ham United,Premier League,COL,67,58,70,69,75,84,3★,3★,M,M,650,10K
Jermain Defoe,77,ST,Bournemouth,Premier League,ENG,68,83,60,76,26,57,4★,3★,M,L,650,10K
Matt Doherty,77,RWB,Wolverhampton Wanderers,Premier League,IRL,78,63,72,74,74,78,4★,3★,H,M,0,0
Richarlison,77,LM,Everton,Premier League,BRA,83,71,68,79,37,77,5★,4★,H,H,150,10K
Florin Andone,77,ST,Brighton & Hove Albion,Premier League,ROM,74,75,63,73,51,80,3★,3★,H,H,350,10K
Lewis Cook,77,CM,Bournemouth,Premier League,ENG,71,64,75,78,67,69,4★,3★,M,M,250,10K
Ruben Loftus-Cheek,77,CM,Chelsea,Premier League,ENG,71,62,75,79,61,78,3★,4★,M,L,150,10K
Divock Origi,77,ST,Liverpool,Premier League,BEL,78,74,67,74,27,72,3★,4★,H,M,650,10K
James Ward-Prowse,77,RM,Southampton,Premier League,ENG,61,66,84,76,63,65,3★,3★,M,M,650,10K
Robbie Brady,77,LM,Burnley,Premier League,IRL,76,73,76,77,66,66,3★,4★,H,M,350,10K
Cédric,77,RB,Southampton,Premier League,POR,79,66,70,75,73,71,4★,3★,H,M,650,10K
Pedro Obiang,77,CDM,West Ham United,Premier League,ESP,65,59,74,73,75,74,3★,3★,M,H,350,10K
Lewis Dunk,77,CB,Brighton & Hove Albion,Premier League,ENG,43,39,53,62,77,76,3★,2★,H,H,300,10K
Manolo Gabbiadini,77,ST,Southampton,Premier League,ITA,69,79,71,75,26,66,3★,3★,H,L,650,10K
Jordan Ayew,77,ST,Crystal Palace,Premier League,GHA,77,75,70,78,46,74,3★,4★,M,H,350,10K
Charlie Austin,77,ST,Southampton,Premier League,ENG,60,78,57,68,37,71,2★,2★,H,M,350,10K
Montoya,77,RB,Brighton & Hove Albion,Premier League,ESP,79,61,71,72,75,72,4★,3★,H,M,350,10K
Davy Pröpper,77,CM,Brighton & Hove Albion,Premier League,NED,63,72,73,75,67,74,3★,3★,M,H,350,10K
Steve Cook,77,CB,Bournemouth,Premier League,ENG,54,33,54,60,77,74,3★,2★,M,H,350,10K
Eliaquim Mangala,77,CB,Manchester City,Premier League,FRA,63,42,55,51,77,82,4★,2★,M,H,650,10K
Salomón Rondón,77,ST,Newcastle United,Premier League,VEN,68,75,55,69,34,78,4★,3★,H,M,650,10K
Daryl Janmaat,77,RB,Watford,Premier League,NED,69,65,72,76,74,76,3★,3★,H,M,350,10K
Ashley Barnes,77,ST,Burnley,Premier League,AT,62,76,67,74,47,80,4★,3★,H,H,300,10K
Matt Ritchie,77,RM,Newcastle United,Premier League,SCO,74,74,75,76,53,66,4★,4★,H,M,300,10K
Danny Welbeck,77,LW,Arsenal,Premier League,ENG,80,74,70,77,43,75,3★,3★,H,H,650,10K
Mathias Jørgensen,77,CB,Huddersfield Town,Premier League,DEN,64,39,59,55,76,78,2★,2★,M,H,300,10K
Andy Carroll,77,ST,West Ham United,Premier League,ENG,47,78,61,68,44,80,3★,2★,M,H,650,10K
Jose Holebas,77,LB,Watford,Premier League,GRE,76,65,71,74,75,78,2★,3★,H,M,650,10K
Etienne Capoue,77,CM,Watford,Premier League,FRA,51,71,72,72,72,74,3★,3★,L,L,350,10K
Winston Reid,77,CB,West Ham United,Premier League,NZL,62,52,48,50,77,77,3★,2★,L,H,650,10K
Llorente,77,ST,Tottenham Hotspur,Premier League,ESP,31,76,61,67,33,71,3★,3★,M,M,350,10K
Aaron Lennon,77,RM,Burnley,Premier League,ENG,81,64,72,81,49,58,3★,3★,H,H,350,10K
