Name,Rtg,Pos,Club,League,Nationality,PAC,SHO,PAS,DRI,DEF,PHY,WF,Skill,AW,DW,Min,Max
Eric Bailly,80,CB,Manchester United,Premier League,IVC,76,42,58,63,79,80,3★,3★,M,H,0,0
Joe Gomez,80,CB,Liverpool,Premier League,ENG,81,30,64,68,79,76,3★,3★,M,M,0,0
Harry Winks,80,CM,Tottenham Hotspur,Premier League,ENG,70,58,77,83,71,66,3★,3★,M,H,0,0
Youri Tielemans,80,CM,Leicester City,Premier League,BEL,63,78,82,78,68,67,5★,4★,M,M,0,0
Nathan Aké,80,CB,Bournemouth,Premier League,NED,75,53,70,72,81,77,3★,2★,M,H,0,0
Bernard,80,LM,Everton,Premier League,BRA,87,69,76,85,38,44,4★,4★,H,M,0,0
Benjamin Mendy,80,LB,Manchester City,Premier League,FRA,81,51,77,77,77,77,3★,3★,H,L,0,0
Raúl Jiménez,80,ST,Wolverhampton Wanderers,Premier League,MEX,78,78,71,75,47,79,4★,3★,H,H,0,0
Kurt Zouma,80,CB,Chelsea,Premier League,FRA,64,51,59,56,78,83,3★,2★,M,M,0,0
Héctor Bellerín,80,RB,Arsenal,Premier League,ESP,92,51,70,77,76,66,3★,3★,H,L,0,0
Deulofeu,80,RF,Watford,Premier League,ESP,88,73,75,87,30,56,4★,4★,H,L,0,0
Alex Oxlade-Chamberlain,80,CM,Liverpool,Premier League,ENG,82,73,78,83,66,73,4★,4★,H,H,0,0
Callum Wilson,80,ST,Bournemouth,Premier League,ENG,87,78,67,77,39,75,3★,4★,H,M,0,0
Manuel Lanzini,80,CAM,West Ham United,Premier League,ARG,77,72,78,85,32,50,3★,4★,M,M,0,0
Erik Lamela,80,RM,Tottenham Hotspur,Premier League,ARG,75,77,79,82,51,72,2★,4★,H,H,0,0
Danny Rose,80,LB,Tottenham Hotspur,Premier League,ENG,77,62,74,79,80,75,3★,3★,M,H,0,0
Miguel Almirón,80,LW,Newcastle United,Premier League,PAR,89,74,76,81,48,63,2★,4★,H,H,0,0
Diogo Jota,80,LF,Wolverhampton Wanderers,Premier League,POR,83,77,70,84,53,76,5★,4★,H,H,0,0
Andreas Christensen,80,CB,Chelsea,Premier League,DEN,68,31,63,69,82,72,3★,2★,L,M,0,0
André Gomes,80,CDM,Everton,Premier League,POR,65,71,78,80,73,80,4★,4★,M,M,0,0
Michael Keane,80,CB,Everton,Premier League,ENG,60,49,62,66,80,79,3★,2★,M,H,0,0
Dejan Lovren,80,CB,Liverpool,Premier League,CRO,54,40,59,63,80,78,4★,2★,M,H,0,0
Roberto Pereyra,80,LM,Watford,Premier League,ARG,75,73,79,83,61,67,4★,4★,H,M,0,0
Etienne Capoue,80,CDM,Watford,Premier League,FRA,52,71,74,73,78,77,3★,3★,M,M,0,0
Mbwana Ally Samatta,79,ST,Aston Villa,Premier League,TAN,85,78,66,73,32,74,4★,3★,H,H,0,0
Wesley,79,ST,Aston Villa,Premier League,BRA,77,76,68,73,38,88,3★,3★,H,H,0,0
Richarlison,79,RM,Everton,Premier League,BRA,84,77,72,81,45,79,5★,4★,H,M,0,0
Aaron Wan-Bissaka,79,RB,Manchester United,Premier League,ENG,87,50,63,78,80,72,2★,4★,M,H,0,0
Christian Pulisic,79,LW,Chelsea,Premier League,USA,90,68,70,83,36,58,4★,4★,M,M,0,0
James Maddison,79,CAM,Leicester City,Premier League,ENG,75,72,82,79,39,57,4★,4★,H,M,0,0
Angeliño,79,LB,Manchester City,Premier League,ESP,85,64,79,80,72,78,3★,4★,H,M,0,0
Allan Saint-Maximin,79,RW,Newcastle United,Premier League,FRA,93,70,70,86,23,63,4★,5★,H,L,0,0
Jean-Philippe Gbamin,79,CDM,Everton,Premier League,IVC,80,57,73,74,78,83,3★,3★,M,H,0,0
Sead Kolašinac,79,LB,Arsenal,Premier League,BOS,75,62,72,72,75,87,2★,3★,H,M,0,0
Leandro Trossard,79,LW,Brighton & Hove Albion,Premier League,BEL,83,80,76,82,30,62,4★,4★,H,M,0,0
James Ward-Prowse,79,CM,Southampton,Premier League,ENG,60,71,85,77,62,64,3★,3★,M,M,0,0
Michy Batshuayi,79,ST,Chelsea,Premier League,BEL,76,79,58,78,33,72,5★,4★,M,L,0,0
Willy Boly,79,CB,Wolverhampton Wanderers,Premier League,FRA,64,35,62,62,78,82,4★,2★,M,M,0,0
Eric Dier,79,CDM,Tottenham Hotspur,Premier League,ENG,54,63,71,65,80,84,3★,2★,M,H,0,0
Andriy Yarmolenko,79,RM,West Ham United,Premier League,UKR,68,80,78,81,42,70,2★,4★,H,M,0,0
Joshua King,79,CF,Bournemouth,Premier League,NOR,88,79,69,79,38,75,3★,4★,M,M,0,0
Mamadou Sakho,79,CB,Crystal Palace,Premier League,FRA,53,33,65,57,78,83,2★,2★,M,H,0,0
Ben Chilwell,79,LB,Leicester City,Premier League,ENG,78,49,71,77,76,75,3★,3★,H,H,0,0
Fabián Balbuena,79,CB,West Ham United,Premier League,PAR,56,40,52,52,80,79,3★,2★,M,M,0,0
Jefferson Lerma,79,CDM,Bournemouth,Premier League,COL,73,64,72,73,78,80,4★,3★,M,H,0,0
Ruben Loftus-Cheek,79,CM,Chelsea,Premier League,ENG,70,67,76,80,62,79,3★,4★,H,M,0,0
Alex Iwobi,79,LM,Everton,Premier League,NIG,80,64,74,82,28,68,3★,4★,H,M,0,0
Jonny,79,LWB,Wolverhampton Wanderers,Premier League,ESP,77,52,70,75,78,70,3★,4★,H,H,0,0
Fabian Schär,79,CB,Newcastle United,Premier League,SUI,62,66,71,69,80,75,4★,2★,H,H,0,0
Fred,79,CM,Manchester United,Premier League,BRA,76,73,75,80,74,69,4★,4★,H,H,0,0
Ben Davies,79,LB,Tottenham Hotspur,Premier League,WAL,73,58,75,75,78,74,3★,3★,M,H,0,0
James Tarkowski,79,CB,Burnley,Premier League,ENG,58,45,66,64,79,78,4★,2★,M,M,0,0
Ross Barkley,79,CAM,Chelsea,Premier League,ENG,70,73,77,80,56,73,5★,4★,M,M,0,0
Serge Aurier,79,RB,Tottenham Hotspur,Premier League,IVC,77,59,73,76,77,76,3★,3★,H,M,0,0
Phil Jones,79,CB,Manchester United,Premier League,ENG,55,51,61,58,78,76,3★,2★,M,H,0,0
Shkodran Mustafi,79,CB,Arsenal,Premier League,GER,60,57,63,62,77,77,3★,2★,M,H,0,0
Jack Wilshere,79,CM,West Ham United,Premier League,ENG,64,68,80,81,63,66,2★,3★,M,M,0,0
Adam Lallana,79,CM,Liverpool,Premier League,ENG,67,71,79,82,62,65,5★,4★,H,H,0,0
Séamus Coleman,79,RB,Everton,Premier League,IRL,74,65,73,77,79,71,3★,3★,H,H,0,0
Jonny Evans,79,CB,Leicester City,Premier League,NIR,56,32,59,55,80,75,4★,2★,M,H,0,0
Victor Wanyama,78,CDM,Tottenham Hotspur,Premier League,KEN,51,65,67,70,79,82,3★,2★,L,H,0,0
Troy Deeney,78,ST,Watford,Premier League,ENG,57,79,67,71,37,85,3★,2★,H,M,0,0
Ismaïla Sarr,78,RM,Watford,Premier League,SEN,94,77,68,80,22,64,2★,4★,H,M,0,0
Oleksandr Zinchenko,78,LB,Manchester City,Premier League,UKR,71,66,80,79,77,66,3★,3★,M,M,0,0
Divock Origi,78,ST,Liverpool,Premier League,BEL,82,76,67,75,27,74,4★,4★,H,M,0,0
Leander Dendoncker,78,CM,Wolverhampton Wanderers,Premier League,BEL,67,72,77,71,78,83,4★,2★,H,H,0,0
Max Meyer,78,CM,Crystal Palace,Premier League,GER,67,62,79,83,65,65,4★,4★,M,M,0,0
Jannik Vestergaard,78,CB,Southampton,Premier League,DEN,34,49,61,49,80,77,4★,2★,M,M,0,0
Pascal Groß,78,CM,Brighton & Hove Albion,Premier League,GER,58,72,82,74,60,72,4★,4★,H,H,0,0
Michail Antonio,78,RM,West Ham United,Premier League,ENG,85,72,73,78,56,82,3★,4★,M,M,0,0
Ashley Barnes,78,ST,Burnley,Premier League,ENG,62,78,68,74,47,81,4★,3★,H,H,0,0
Danny Welbeck,78,ST,Watford,Premier League,ENG,77,74,70,76,43,74,3★,3★,H,H,0,0
Jose Holebas,78,LB,Watford,Premier League,GRE,69,65,75,74,76,76,2★,3★,H,M,0,0
James Tomkins,78,CB,Crystal Palace,Premier League,ENG,41,32,57,55,80,75,3★,2★,M,M,0,0
Ryan Bertrand,78,LB,Southampton,Premier League,ENG,76,53,70,76,76,70,3★,3★,H,M,0,0
Declan Rice,78,CDM,West Ham United,Premier League,ENG,62,37,64,68,77,77,3★,2★,M,H,0,0
Issa Diop,78,CB,West Ham United,Premier League,FRA,67,36,52,56,79,79,3★,2★,M,M,0,0
Joelinton,78,ST,Newcastle United,Premier League,BRA,78,75,60,76,43,81,4★,3★,H,M,0,0
Yerry Mina,78,CB,Everton,Premier League,COL,51,54,55,57,78,80,3★,2★,M,M,0,0
Ayoze Pérez,78,CF,Leicester City,Premier League,ESP,76,75,67,81,54,66,4★,4★,H,H,0,0
Ibrahim Amadou,78,CDM,Norwich City,Premier League,FRA,71,55,66,71,76,81,3★,3★,M,H,0,0
Jamaal Lascelles,78,CB,Newcastle United,Premier League,ENG,59,28,51,58,78,80,3★,2★,M,H,0,0
Marcos Rojo,78,CB,Manchester United,Premier League,ARG,67,59,68,65,76,76,2★,3★,M,M,0,0
Matt Doherty,78,RWB,Wolverhampton Wanderers,Premier League,IRL,74,63,71,73,74,78,4★,3★,H,M,0,0
Lewis Dunk,78,CB,Brighton & Hove Albion,Premier League,ENG,46,40,55,61,78,77,3★,2★,M,H,0,0
Florian Lejeune,78,CB,Newcastle United,Premier League,FRA,49,57,61,66,78,79,3★,2★,M,H,0,0
Andros Townsend,78,RM,Crystal Palace,Premier League,ENG,78,77,75,79,38,69,4★,4★,H,H,0,0
Steve Cook,78,CB,Bournemouth,Premier League,ENG,53,34,55,61,78,75,3★,2★,M,H,0,0
Shane Duffy,78,CB,Brighton & Hove Albion,Premier League,IRL,47,45,51,49,78,80,3★,2★,M,H,0,0
Jóhann Berg Guðmundsson,78,RM,Burnley,Premier League,ICE,75,74,78,77,61,70,4★,4★,H,H,0,0
Nathaniel Clyne,78,RB,Liverpool,Premier League,ENG,71,61,70,77,77,69,2★,3★,H,M,0,0
Christian Kabasele,78,CB,Watford,Premier League,BEL,70,50,51,62,78,77,3★,2★,M,H,0,0
Ben Mee,78,CB,Burnley,Premier League,ENG,61,42,58,62,79,80,3★,2★,M,H,0,0
Dominic Calvert-Lewin,77,ST,Everton,Premier League,ENG,84,70,63,75,38,79,3★,3★,H,M,0,0
Sofiane Boufal,77,LM,Southampton,Premier League,MOR,78,67,71,86,27,52,4★,4★,H,L,0,0
Conor Coady,77,CB,Wolverhampton Wanderers,Premier League,ENG,47,59,73,66,78,74,3★,2★,L,H,0,0
Theo Walcott,77,RM,Everton,Premier League,ENG,87,72,70,78,39,61,3★,3★,M,M,0,0
Cenk Tosun,77,ST,Crystal Palace,Premier League,TUR,71,77,66,73,36,73,4★,3★,H,M,0,0
Ondrej Duda,77,CAM,Norwich City,Premier League,SVK,69,75,73,80,55,62,4★,4★,M,H,0,0
Nabil Bentaleb,77,CM,Newcastle United,Premier League,ALG,65,71,75,79,67,74,2★,4★,M,M,0,0
Danny Drinkwater,77,CM,Aston Villa,Premier League,ENG,59,66,76,75,71,68,4★,3★,M,M,0,0
Patrick Cutrone,77,ST,Wolverhampton Wanderers,Premier League,ITA,73,74,56,74,29,69,3★,3★,M,M,0,0
Scott McTominay,77,CDM,Manchester United,Premier League,SCO,61,65,72,72,74,80,3★,3★,H,H,0,0
Trezeguet,77,LW,Aston Villa,Premier League,EGY,84,74,73,79,35,65,5★,4★,H,M,0,0
Vallejo,77,CB,Wolverhampton Wanderers,Premier League,ESP,71,41,55,63,77,67,3★,2★,L,H,0,0
Lewis Cook,77,CM,Bournemouth,Premier League,ENG,70,63,75,78,66,69,4★,3★,M,M,0,0
Jan Bednarek,77,CB,Southampton,Premier League,POL,62,22,52,56,78,74,3★,2★,M,H,0,0
David Brooks,77,RM,Bournemouth,Premier League,WAL,75,71,75,79,48,66,4★,4★,M,M,0,0
Pierre-Emile Højbjerg,77,CM,Southampton,Premier League,DEN,61,70,74,74,73,79,4★,3★,H,H,0,0
Emerson,77,LB,Chelsea,Premier League,ITA,79,59,68,78,74,62,3★,3★,H,M,0,0
Andreas Pereira,77,CM,Manchester United,Premier League,BRA,73,74,78,78,66,69,4★,4★,M,M,0,0
Romain Saïss,77,CDM,Wolverhampton Wanderers,Premier League,MOR,62,53,70,69,76,74,3★,3★,M,H,0,0
Jack Grealish,77,CAM,Aston Villa,Premier League,ENG,75,66,74,80,41,59,3★,4★,M,M,0,0
Will Hughes,77,RM,Watford,Premier League,ENG,64,64,78,78,68,64,3★,4★,M,M,0,0
Djibril Sidibé,77,RB,Everton,Premier League,FRA,77,62,74,74,73,79,4★,3★,H,M,0,0
Marco van Ginkel,77,CM,Chelsea,Premier League,NED,64,77,77,75,70,70,4★,3★,H,H,0,0
Nathan Redmond,77,LM,Southampton,Premier League,ENG,84,71,71,81,27,52,3★,4★,H,M,0,0
Davy Pröpper,77,CM,Brighton & Hove Albion,Premier League,NED,62,70,73,76,67,75,3★,4★,M,H,0,0
Cenk Tosun,77,ST,Everton,Premier League,TUR,71,77,66,73,36,73,4★,3★,H,M,0,0
Chris Wood,77,ST,Burnley,Premier League,NZL,70,76,59,69,40,79,3★,2★,H,M,0,0
Teemu Pukki,77,ST,Norwich City,Premier League,FIN,77,75,58,75,33,69,3★,3★,H,M,0,0
Ashley Westwood,77,CM,Burnley,Premier League,ENG,60,60,79,74,74,76,3★,3★,M,M,0,0
Jonjo Shelvey,77,CM,Newcastle United,Premier League,ENG,62,72,79,73,62,74,3★,3★,L,M,0,0
Daryl Janmaat,77,RB,Watford,Premier League,NED,67,65,73,75,75,74,3★,3★,H,M,0,0
Danny Drinkwater,77,CM,Burnley,Premier League,ENG,59,66,76,75,71,68,4★,3★,M,M,0,0
Angelo Ogbonna,77,CB,West Ham United,Premier League,ITA,58,39,58,60,79,74,3★,2★,M,M,0,0
Fabian Delph,77,LB,Everton,Premier League,ENG,69,70,76,79,73,74,3★,3★,M,H,0,0
Morgan Schneiderlin,77,CDM,Everton,Premier League,FRA,56,60,71,71,75,76,3★,3★,L,H,0,0
Glenn Murray,77,ST,Brighton & Hove Albion,Premier League,ENG,31,78,61,68,42,72,3★,2★,L,M,0,0
Gary Cahill,77,CB,Crystal Palace,Premier League,ENG,41,58,51,57,78,74,3★,2★,M,M,0,0
Ashley Young,77,RB,Manchester United,Premier League,ENG,70,66,74,75,73,71,3★,4★,H,M,0,0
Phil Foden,76,CAM,Manchester City,Premier League,ENG,74,64,74,79,55,55,3★,4★,M,M,0,0
Tammy Abraham,76,ST,Chelsea,Premier League,ENG,74,74,57,69,31,68,3★,3★,M,M,0,0
Kieran Tierney,76,LB,Arsenal,Premier League,SCO,88,59,70,74,71,81,3★,3★,H,H,0,0
Marvelous Nakamba,76,CDM,Aston Villa,Premier League,ZIM,74,49,63,72,75,82,2★,3★,M,H,0,0
DeAndre Yedlin,76,RWB,Newcastle United,Premier League,USA,92,51,65,75,71,70,3★,3★,H,M,0,0
Arthur Masuaku,76,LB,West Ham United,Premier League,DRC,86,63,72,80,70,70,2★,4★,H,M,0,0
Andre Gray,76,ST,Watford,Premier League,ENG,86,75,62,73,30,72,3★,3★,H,M,0,0
Cheikhou Kouyaté,76,CDM,Crystal Palace,Premier League,SEN,69,65,61,69,76,85,3★,3★,H,M,0,0
Patrick van Aanholt,76,LB,Crystal Palace,Premier League,NED,87,68,70,76,72,71,4★,3★,H,L,0,0
Ignacio Pussetto,76,ST,Watford,Premier League,ARG,80,74,62,77,25,65,4★,3★,H,M,0,0
Gedson Fernandes,76,CM,Tottenham Hotspur,Premier League,POR,79,70,73,76,71,77,3★,3★,H,H,0,0
Filip Benković,76,CB,Leicester City,Premier League,CRO,64,46,56,57,75,82,3★,2★,M,M,0,0
Moise Kean,76,ST,Everton,Premier League,ITA,81,72,50,77,30,68,3★,3★,M,M,0,0
Arnaut Danjuma Groeneveld,76,LM,Bournemouth,Premier League,NED,82,73,71,79,42,67,4★,4★,H,M,0,0
Rob Holding,76,CB,Arsenal,Premier League,ENG,60,34,59,65,77,73,3★,2★,M,H,0,0
Frédéric Guilbert,76,RB,Aston Villa,Premier League,FRA,73,47,66,68,76,75,2★,3★,H,M,0,0
Camarasa,76,CM,Crystal Palace,Premier League,ESP,63,73,74,75,69,73,3★,3★,H,M,0,0
José Izquierdo,76,LW,Brighton & Hove Albion,Premier League,COL,86,69,67,80,38,53,3★,4★,H,H,0,0
Björn Engels,76,CB,Aston Villa,Premier League,BEL,60,44,61,57,75,76,3★,2★,M,M,0,0
Isaac Hayden,76,CDM,Newcastle United,Premier League,ENG,58,55,64,68,74,76,4★,2★,M,H,0,0
Dwight Gayle,76,ST,Newcastle United,Premier League,ENG,81,77,58,73,28,61,4★,3★,M,M,0,0
Charlie Taylor,76,LB,Burnley,Premier League,ENG,71,54,71,74,75,76,2★,3★,H,M,0,0
Federico Fernández,76,CB,Newcastle United,Premier League,ARG,48,28,50,51,77,74,2★,2★,M,H,0,0
Robbie Brady,76,LM,Burnley,Premier League,IRL,72,72,76,76,66,63,3★,4★,H,M,0,0
Ravel Morrison,76,CAM,Sheffield United,Premier League,ENG,78,69,75,78,50,57,4★,3★,M,L,0,0
Cédric,76,RB,Southampton,Premier League,POR,77,66,70,75,73,70,4★,3★,H,M,0,0
Dennis Praet,76,CM,Leicester City,Premier League,BEL,69,70,77,78,61,64,4★,4★,H,M,0,0
Oriol Romeu,76,CDM,Southampton,Premier League,ESP,45,39,63,63,77,77,3★,2★,L,H,0,0
Danny Ings,76,ST,Southampton,Premier League,ENG,75,74,64,76,32,66,3★,3★,H,H,0,0
Aaron Mooy,76,CM,Brighton & Hove Albion,Premier League,AUS,59,69,77,73,69,74,3★,3★,M,M,0,0
Montoya,76,RB,Brighton & Hove Albion,Premier League,ESP,77,61,71,72,73,69,4★,3★,H,M,0,0
Adam Smith,76,RB,Bournemouth,Premier League,ENG,71,60,71,74,75,69,3★,3★,H,M,0,0
Kiko Femenía,76,RB,Watford,Premier League,ESP,75,58,71,78,73,68,3★,3★,H,M,0,0
Tom Cleverley,76,CM,Watford,Premier League,ENG,64,69,75,73,61,62,3★,3★,H,M,0,0
Aaron Cresswell,76,LB,West Ham United,Premier League,ENG,71,59,73,75,74,67,3★,3★,H,M,0,0
Marc Albrighton,76,RM,Leicester City,Premier League,ENG,70,68,75,76,59,69,3★,3★,H,H,0,0
